Frequency (Hz)	Level (dB)
15.625000	-33.691017
31.250000	-29.289448
46.875000	-30.669695
62.500000	-33.477238
78.125000	-34.030376
93.750000	-33.509468
109.375000	-32.649719
125.000000	-32.120056
140.625000	-31.637556
156.250000	-31.290911
171.875000	-30.920689
187.500000	-30.617094
203.125000	-29.955685
218.750000	-29.665810
234.375000	-29.601082
250.000000	-29.323090
265.625000	-29.031412
281.250000	-29.668398
296.875000	-30.118092
312.500000	-30.128439
328.125000	-30.456860
343.750000	-30.883156
359.375000	-31.083992
375.000000	-31.186995
390.625000	-31.659491
406.250000	-31.959784
421.875000	-32.183350
437.500000	-32.276451
453.125000	-32.576962
468.750000	-32.761345
484.375000	-33.144783
500.000000	-33.334858
515.625000	-32.967819
531.250000	-32.445137
546.875000	-32.878136
562.500000	-33.909267
578.125000	-34.441654
593.750000	-34.591728
609.375000	-34.857143
625.000000	-35.262352
640.625000	-35.665962
656.250000	-35.603390
671.875000	-35.934586
687.500000	-36.291393
703.125000	-36.447090
718.750000	-36.713577
734.375000	-36.936096
750.000000	-37.110359
765.625000	-37.048958
781.250000	-36.656429
796.875000	-36.480072
812.500000	-37.256149
828.125000	-38.189095
843.750000	-38.860962
859.375000	-39.574741
875.000000	-39.717133
890.625000	-39.707478
906.250000	-40.455391
921.875000	-40.985672
937.500000	-41.156460
953.125000	-41.167217
968.750000	-41.585251
984.375000	-42.056572
1000.000000	-42.387203
1015.625000	-42.493008
1031.250000	-42.036434
1046.875000	-40.500992
1062.500000	-39.290634
1078.125000	-39.989635
1093.750000	-41.764275
1109.375000	-43.319683
1125.000000	-43.905495
1140.625000	-44.549553
1156.250000	-45.394054
1171.875000	-46.109699
1187.500000	-46.343231
1203.125000	-46.810635
1218.750000	-47.403133
1234.375000	-47.542995
1250.000000	-47.577240
1265.625000	-47.637821
1281.250000	-47.347107
1296.875000	-46.575817
1312.500000	-44.446049
1328.125000	-43.294304
1343.750000	-44.599163
1359.375000	-46.950020
1375.000000	-48.598637
1390.625000	-49.384228
1406.250000	-49.855507
1421.875000	-50.304356
1437.500000	-50.794910
1453.125000	-51.239845
1468.750000	-51.633831
1484.375000	-51.658321
1500.000000	-51.583755
1515.625000	-51.490471
1531.250000	-51.204937
1546.875000	-49.881878
1562.500000	-47.747070
1578.125000	-44.731628
1593.750000	-42.739025
1609.375000	-44.194206
1625.000000	-47.449226
1640.625000	-49.841560
1656.250000	-51.418545
1671.875000	-52.660107
1687.500000	-53.229778
1703.125000	-53.805004
1718.750000	-53.968533
1734.375000	-53.990993
1750.000000	-54.210423
1765.625000	-53.853786
1781.250000	-52.861938
1796.875000	-51.380398
1812.500000	-49.316383
1828.125000	-46.401257
1843.750000	-42.809616
1859.375000	-40.860840
1875.000000	-42.270454
1890.625000	-45.521648
1906.250000	-48.289501
1921.875000	-50.435787
1937.500000	-51.959572
1953.125000	-52.887222
1968.750000	-53.335201
1984.375000	-53.863621
2000.000000	-54.001682
2015.625000	-53.588783
2031.250000	-52.964302
2046.875000	-51.860840
2062.500000	-50.313450
2078.125000	-48.375134
2093.750000	-45.113800
2109.375000	-41.502182
2125.000000	-39.596661
2140.625000	-41.203747
2156.250000	-44.183041
2171.875000	-46.602825
2187.500000	-48.413837
2203.125000	-49.713413
2218.750000	-50.541809
2234.375000	-51.160255
2250.000000	-51.714359
2265.625000	-51.911343
2281.250000	-51.864769
2296.875000	-50.990917
2312.500000	-49.926968
