Frequency (Hz)	Level (dB)
15.625000	-40.550846
31.250000	-38.644840
46.875000	-40.408199
62.500000	-42.112743
78.125000	-40.983894
93.750000	-39.598080
109.375000	-38.656147
125.000000	-37.671829
140.625000	-37.461277
156.250000	-37.285042
171.875000	-37.155079
187.500000	-37.545120
203.125000	-37.433426
218.750000	-37.226204
234.375000	-37.764709
250.000000	-38.750706
265.625000	-39.720951
281.250000	-39.711132
296.875000	-40.099415
312.500000	-40.795536
328.125000	-41.265415
343.750000	-41.673447
359.375000	-41.983334
375.000000	-42.512619
390.625000	-42.776520
406.250000	-43.081989
421.875000	-42.795128
437.500000	-41.726547
453.125000	-41.586044
468.750000	-43.402134
484.375000	-45.047401
500.000000	-46.031979
515.625000	-47.335442
531.250000	-48.080269
546.875000	-48.830696
562.500000	-49.436836
578.125000	-49.837414
593.750000	-49.978142
609.375000	-49.908375
625.000000	-49.739738
640.625000	-48.044224
656.250000	-45.077007
671.875000	-43.640327
687.500000	-45.802341
703.125000	-49.542755
718.750000	-51.801880
734.375000	-53.261070
750.000000	-54.251373
765.625000	-55.062500
781.250000	-55.482475
796.875000	-55.312862
812.500000	-55.043945
828.125000	-54.066704
843.750000	-52.356407
859.375000	-48.844883
875.000000	-43.479565
890.625000	-39.945820
906.250000	-40.772911
921.875000	-43.427685
937.500000	-45.587505
953.125000	-48.253796
968.750000	-51.008900
984.375000	-53.663754
1000.000000	-55.268787
1015.625000	-56.098061
1031.250000	-55.898235
1046.875000	-54.697845
1062.500000	-52.723568
1078.125000	-49.934483
1093.750000	-45.678650
1109.375000	-41.911594
1125.000000	-42.286694
1140.625000	-46.625267
1156.250000	-50.673645
1171.875000	-52.900394
1187.500000	-54.097157
1203.125000	-55.088867
1218.750000	-55.864426
1234.375000	-55.908524
1250.000000	-55.187847
1265.625000	-54.457157
1281.250000	-52.662090
1296.875000	-50.215664
1312.500000	-46.497967
1328.125000	-42.470062
1343.750000	-41.549503
1359.375000	-44.704533
1375.000000	-48.907475
1390.625000	-51.559841
1406.250000	-53.063530
1421.875000	-54.013485
1437.500000	-54.614246
1453.125000	-54.701393
1468.750000	-53.856499
1484.375000	-52.976456
1500.000000	-51.474068
1515.625000	-48.848991
1531.250000	-45.367146
1546.875000	-40.890106
1562.500000	-39.078957
1578.125000	-41.615856
1593.750000	-45.641567
1609.375000	-48.695663
1625.000000	-50.538666
1640.625000	-51.624062
1656.250000	-52.005394
1671.875000	-52.138775
1687.500000	-51.878838
1703.125000	-51.086552
1718.750000	-49.744396
1734.375000	-47.515724
1750.000000	-44.289001
1765.625000	-39.731373
1781.250000	-37.065468
1796.875000	-38.712433
1812.500000	-42.828190
1828.125000	-45.789070
1843.750000	-47.793213
1859.375000	-48.808624
1875.000000	-49.658607
1890.625000	-49.656315
1906.250000	-49.330978
1921.875000	-48.808887
1937.500000	-47.686089
1953.125000	-45.579659
1968.750000	-42.437103
1984.375000	-38.582382
2000.000000	-35.450554
2015.625000	-36.183334
2031.250000	-39.843792
2046.875000	-43.056389
2062.500000	-44.974998
2078.125000	-46.409874
2093.750000	-46.999874
2109.375000	-47.215710
2125.000000	-47.149319
2140.625000	-46.731102
2156.250000	-45.573902
2171.875000	-43.832790
2187.500000	-41.169083
2203.125000	-37.093472
2218.750000	-33.337757
2234.375000	-33.259644
2250.000000	-36.566986
2265.625000	-40.102566
2281.250000	-42.709881
2296.875000	-43.953793
2312.500000	-44.730221
2328.125000	-44.927307
2343.750000	-44.945019
2359.375000	-44.598255
2375.000000	-43.706757
2390.625000	-41.973995
2406.250000	-39.490959
2421.875000	-36.201939
2437.500000	-32.981277
2453.125000	-31.746864
2468.750000	-34.081589
2484.375000	-37.481060
2500.000000	-39.995693
2515.625000	-41.765526
2531.250000	-42.608761
2546.875000	-42.902756
2562.500000	-42.948830
2578.125000	-42.394302
2593.750000	-41.483696
2609.375000	-40.109478
2625.000000	-37.955727
2640.625000	-34.824970
2656.250000	-31.611528
2671.875000	-30.294819
2687.500000	-32.007801
2703.125000	-34.901150
2718.750000	-37.287437
2734.375000	-39.125122
2750.000000	-40.030415
2765.625000	-40.506741
2781.250000	-41.148571
2796.875000	-40.868652
2812.500000	-39.815014
2828.125000	-38.298328
2843.750000	-36.568619
2859.375000	-34.070438
2875.000000	-30.848701
2890.625000	-29.012707
2906.250000	-29.882256
2921.875000	-32.733749
2937.500000	-35.152206
2953.125000	-36.789242
2968.750000	-38.179455
2984.375000	-39.166840
3000.000000	-39.317719
3015.625000	-39.277260
3031.250000	-38.862820
3046.875000	-37.871738
3062.500000	-36.361259
3078.125000	-34.227196
3093.750000	-31.250229
3109.375000	-28.913002
3125.000000	-28.920582
3140.625000	-31.062468
3156.250000	-33.676365
3171.875000	-35.625885
3187.500000	-36.992542
3203.125000	-38.125320
3218.750000	-38.694149
3234.375000	-38.774513
3250.000000	-38.212898
3265.625000	-37.568348
3281.250000	-36.354797
3296.875000	-34.657162
3312.500000	-32.214699
3328.125000	-29.943501
3343.750000	-29.236313
3359.375000	-30.717346
3375.000000	-33.132092
3390.625000	-35.480194
3406.250000	-37.049976
3421.875000	-38.020664
3437.500000	-38.678360
3453.125000	-38.986858
3468.750000	-38.582287
3484.375000	-37.911507
3500.000000	-36.899292
3515.625000	-35.381454
3531.250000	-32.926678
3546.875000	-30.614876
3562.500000	-29.498240
3578.125000	-30.476820
3593.750000	-32.984741
3609.375000	-35.162971
3625.000000	-36.861420
3640.625000	-38.090694
3656.250000	-39.061790
3671.875000	-39.395306
3687.500000	-39.017799
3703.125000	-38.372375
3718.750000	-37.590401
3734.375000	-36.204292
3750.000000	-34.264240
3765.625000	-31.847918
3781.250000	-30.172207
3796.875000	-30.786663
3812.500000	-33.023071
3828.125000	-35.303001
3843.750000	-36.899708
3859.375000	-38.230057
3875.000000	-39.093376
3890.625000	-39.278721
3906.250000	-39.304821
3921.875000	-38.515106
3937.500000	-37.360512
3953.125000	-36.309738
3968.750000	-34.527061
3984.375000	-32.281189
4000.000000	-30.781301
4015.625000	-31.122465
4031.250000	-32.743931
4046.875000	-34.946335
4062.500000	-36.602230
4078.125000	-37.784508
4093.750000	-38.788746
4109.375000	-39.041431
4125.000000	-39.084934
4140.625000	-38.546574
4156.250000	-37.565666
4171.875000	-36.280029
4187.500000	-34.665249
4203.125000	-32.685280
4218.750000	-31.238791
4234.375000	-31.217251
4250.000000	-32.523888
4265.625000	-34.347328
4281.250000	-36.120171
4296.875000	-37.091400
4312.500000	-37.927708
4328.125000	-38.084259
4343.750000	-38.233601
4359.375000	-37.721771
4375.000000	-36.927799
4390.625000	-35.692982
4406.250000	-34.183132
4421.875000	-32.407322
4437.500000	-31.272238
4453.125000	-31.109589
4468.750000	-32.131683
4484.375000	-33.703060
4500.000000	-34.890656
4515.625000	-36.137939
4531.250000	-36.710030
4546.875000	-36.841621
4562.500000	-36.818909
4578.125000	-36.585545
4593.750000	-35.756046
4609.375000	-34.770809
4625.000000	-33.416489
4640.625000	-31.962429
4656.250000	-31.033585
4671.875000	-31.025131
4687.500000	-31.601933
4703.125000	-32.541759
4718.750000	-33.580872
4734.375000	-34.476456
4750.000000	-34.947861
4765.625000	-35.208454
4781.250000	-35.105465
4796.875000	-34.722420
4812.500000	-33.998547
4828.125000	-33.195957
4843.750000	-32.227272
4859.375000	-31.246664
4875.000000	-30.738581
4890.625000	-30.622536
4906.250000	-30.945738
4921.875000	-31.442875
4937.500000	-32.120117
4953.125000	-32.410973
4968.750000	-32.947544
4984.375000	-33.114876
5000.000000	-33.204906
5015.625000	-33.246353
5031.250000	-32.971050
5046.875000	-32.537041
5062.500000	-32.367374
5078.125000	-32.165886
5093.750000	-31.748924
5109.375000	-31.587292
5125.000000	-31.499868
5140.625000	-31.276258
5156.250000	-31.085501
5171.875000	-31.349770
5187.500000	-31.808807
5203.125000	-32.298565
5218.750000	-32.854015
5234.375000	-33.452827
5250.000000	-34.201416
5265.625000	-34.372395
5281.250000	-34.263828
5296.875000	-34.159130
5312.500000	-33.926308
5328.125000	-33.443596
5343.750000	-32.972332
5359.375000	-32.186905
5375.000000	-31.798307
5390.625000	-32.159523
5406.250000	-32.898476
5421.875000	-34.054241
5437.500000	-35.181908
5453.125000	-36.177315
5468.750000	-36.835052
5484.375000	-37.293037
5500.000000	-37.435841
5515.625000	-37.160004
5531.250000	-36.667862
5546.875000	-36.032703
5562.500000	-35.079269
5578.125000	-34.222565
5593.750000	-33.587578
5609.375000	-33.840706
5625.000000	-34.887066
5640.625000	-36.224457
5656.250000	-37.429623
