Frequency (Hz)	Level (dB)
15.625000	-51.461304
31.250000	-45.093269
46.875000	-41.965179
62.500000	-40.709320
78.125000	-39.757248
93.750000	-38.855381
109.375000	-37.848423
125.000000	-37.180161
140.625000	-36.075768
156.250000	-35.270664
171.875000	-35.246635
187.500000	-34.903095
203.125000	-34.533894
218.750000	-34.565815
234.375000	-34.548527
250.000000	-34.859238
265.625000	-34.823193
281.250000	-34.001820
296.875000	-34.394646
312.500000	-35.815647
328.125000	-36.782848
343.750000	-37.361034
359.375000	-37.895515
375.000000	-38.204033
390.625000	-38.656300
406.250000	-39.070602
421.875000	-39.448402
437.500000	-39.874271
453.125000	-40.215874
468.750000	-40.588982
484.375000	-40.984970
500.000000	-41.357552
515.625000	-41.852905
531.250000	-41.927826
546.875000	-41.375931
562.500000	-39.855545
578.125000	-37.828522
593.750000	-38.311615
609.375000	-40.750389
625.000000	-42.415642
640.625000	-43.322735
656.250000	-44.698875
671.875000	-45.547832
687.500000	-46.406162
703.125000	-47.081039
718.750000	-47.698639
734.375000	-48.279160
750.000000	-48.544659
765.625000	-48.693596
781.250000	-49.137810
796.875000	-48.809406
812.500000	-47.698395
828.125000	-46.450775
843.750000	-44.225590
859.375000	-41.288261
875.000000	-39.847969
890.625000	-41.649963
906.250000	-45.376549
921.875000	-48.221275
937.500000	-50.026268
953.125000	-51.222557
968.750000	-52.496975
984.375000	-53.283573
1000.000000	-53.804173
1015.625000	-54.222900
1031.250000	-54.613136
1046.875000	-54.245968
1062.500000	-53.714504
1078.125000	-52.902000
1093.750000	-51.683861
1109.375000	-49.616985
1125.000000	-46.296589
1140.625000	-41.894505
1156.250000	-37.899097
1171.875000	-37.158314
1187.500000	-39.192909
1203.125000	-41.860302
1218.750000	-44.293999
1234.375000	-46.507687
1250.000000	-49.003063
1265.625000	-51.252285
1281.250000	-53.089863
1296.875000	-54.458099
1312.500000	-55.148880
1328.125000	-55.229698
1343.750000	-54.694958
1359.375000	-53.842552
1375.000000	-52.926571
1390.625000	-51.174419
1406.250000	-49.004147
1421.875000	-45.966942
1437.500000	-42.243992
1453.125000	-39.656654
1468.750000	-40.362820
1484.375000	-43.927986
1500.000000	-47.375988
1515.625000	-49.516865
1531.250000	-50.921860
1546.875000	-52.044228
1562.500000	-52.759758
1578.125000	-53.238716
1593.750000	-53.335011
1609.375000	-53.341663
1625.000000	-53.071259
1640.625000	-52.473679
1656.250000	-51.448387
1671.875000	-50.242222
1687.500000	-48.607784
1703.125000	-46.340191
1718.750000	-43.178570
1734.375000	-39.508884
1750.000000	-37.917248
1765.625000	-39.933231
1781.250000	-43.491608
1796.875000	-46.091450
1812.500000	-48.004879
1828.125000	-49.408577
1843.750000	-50.542656
1859.375000	-51.034573
1875.000000	-51.539402
1890.625000	-51.361732
1906.250000	-51.042633
1921.875000	-50.818779
1937.500000	-50.203125
1953.125000	-49.030861
1968.750000	-47.351418
1984.375000	-45.644241
2000.000000	-42.897953
2015.625000	-39.361713
2031.250000	-36.188259
2046.875000	-35.975826
2062.500000	-38.644424
2078.125000	-42.075153
2093.750000	-44.372894
2109.375000	-46.004681
2125.000000	-47.226879
2140.625000	-48.205452
2156.250000	-48.665306
2171.875000	-48.831745
2187.500000	-48.849861
2203.125000	-48.273540
2218.750000	-47.478470
2234.375000	-46.782017
2250.000000	-45.655769
2265.625000	-44.060200
2281.250000	-42.017540
2296.875000	-38.636349
2312.500000	-34.947922
2328.125000	-32.871773
2343.750000	-34.403957
2359.375000	-37.822666
2375.000000	-40.849968
2390.625000	-42.794735
2406.250000	-44.023705
2421.875000	-44.986629
2437.500000	-45.960560
2453.125000	-46.119652
2468.750000	-46.206867
2484.375000	-45.957424
2500.000000	-45.647747
2515.625000	-45.117134
2531.250000	-44.041286
2546.875000	-42.553417
2562.500000	-40.800339
2578.125000	-38.204140
2593.750000	-34.891777
2609.375000	-31.730545
2625.000000	-30.908535
2640.625000	-33.012413
2656.250000	-36.080498
2671.875000	-38.907352
2687.500000	-40.869919
2703.125000	-41.940968
