Frequency (Hz)	Level (dB)
15.625000	-72.520157
31.250000	-69.948372
46.875000	-67.970909
62.500000	-66.039368
78.125000	-66.386917
93.750000	-66.182045
109.375000	-65.105743
125.000000	-64.544212
140.625000	-64.592010
156.250000	-64.051750
171.875000	-63.533195
187.500000	-62.441097
203.125000	-60.891418
218.750000	-59.463474
234.375000	-57.562061
250.000000	-54.558201
265.625000	-50.856182
281.250000	-47.390396
296.875000	-47.162628
312.500000	-50.280941
328.125000	-53.660870
343.750000	-55.698841
359.375000	-57.440273
375.000000	-58.748005
390.625000	-59.581917
406.250000	-60.038574
421.875000	-60.275715
437.500000	-60.134933
453.125000	-59.861629
468.750000	-59.293808
484.375000	-58.664608
500.000000	-57.492405
515.625000	-56.018757
531.250000	-53.754356
546.875000	-50.285404
562.500000	-46.553074
578.125000	-44.843151
593.750000	-46.417229
609.375000	-50.113579
625.000000	-53.179310
640.625000	-55.088158
656.250000	-56.507202
671.875000	-57.659657
687.500000	-58.136822
703.125000	-58.540607
718.750000	-58.406975
734.375000	-58.284168
750.000000	-57.961746
765.625000	-57.300793
781.250000	-56.246838
796.875000	-54.570255
812.500000	-52.697388
828.125000	-50.310604
843.750000	-46.721172
859.375000	-43.678841
875.000000	-43.316326
890.625000	-46.060989
906.250000	-49.519619
921.875000	-51.977451
937.500000	-53.615337
953.125000	-54.929562
968.750000	-55.952156
984.375000	-56.496323
1000.000000	-56.524704
1015.625000	-56.545609
1031.250000	-56.328369
1046.875000	-55.529133
1062.500000	-54.709679
1078.125000	-53.579964
1093.750000	-51.837292
1109.375000	-49.209736
1125.000000	-45.588387
1140.625000	-42.045006
1156.250000	-40.837234
1171.875000	-43.169590
1187.500000	-47.080589
1203.125000	-50.203766
1218.750000	-52.406780
1234.375000	-53.658298
1250.000000	-54.216946
1265.625000	-55.067989
1281.250000	-55.311829
1296.875000	-55.407944
1312.500000	-55.207630
1328.125000	-54.886520
1343.750000	-54.047787
1359.375000	-52.838631
1375.000000	-51.486286
1390.625000	-49.179440
1406.250000	-46.038544
1421.875000	-42.355289
1437.500000	-39.803711
1453.125000	-40.460739
1468.750000	-43.430733
1484.375000	-46.755417
1500.000000	-49.330147
1515.625000	-50.878986
1531.250000	-51.953369
1546.875000	-52.786228
1562.500000	-53.166389
1578.125000	-53.284180
1593.750000	-52.998749
1609.375000	-52.732723
1625.000000	-52.070766
1640.625000	-51.127785
1656.250000	-49.711918
1671.875000	-47.935619
1687.500000	-45.486233
1703.125000	-42.138500
1718.750000	-38.934330
