Frequency (Hz)	Level (dB)
15.625000	-28.970287
31.250000	-29.056839
46.875000	-29.098415
62.500000	-29.181217
78.125000	-29.059237
93.750000	-28.976692
109.375000	-28.877872
125.000000	-29.032743
140.625000	-29.027452
156.250000	-29.198637
171.875000	-29.351524
187.500000	-29.257172
203.125000	-28.988613
218.750000	-29.067043
234.375000	-29.446636
250.000000	-29.103161
265.625000	-28.954977
281.250000	-28.878975
296.875000	-28.883127
312.500000	-28.956467
328.125000	-28.951916
343.750000	-28.891611
359.375000	-29.009869
375.000000	-29.056664
390.625000	-29.066767
406.250000	-29.050865
421.875000	-29.077879
437.500000	-28.990877
453.125000	-28.951918
468.750000	-28.906382
484.375000	-29.130884
500.000000	-29.116880
515.625000	-29.171370
531.250000	-29.208363
546.875000	-28.944866
562.500000	-28.989241
578.125000	-29.238789
593.750000	-29.184587
609.375000	-29.284069
625.000000	-29.220356
640.625000	-28.999590
656.250000	-29.054539
671.875000	-29.241583
687.500000	-29.119053
703.125000	-29.185814
718.750000	-28.945251
734.375000	-28.961012
750.000000	-29.054220
765.625000	-29.109783
781.250000	-29.127094
796.875000	-28.876259
812.500000	-28.951059
828.125000	-29.082554
843.750000	-29.097361
859.375000	-29.031803
875.000000	-28.927790
890.625000	-29.077410
906.250000	-28.985027
921.875000	-28.905241
937.500000	-28.783304
953.125000	-28.902542
968.750000	-29.063032
984.375000	-29.142410
1000.000000	-28.993996
1015.625000	-29.086161
1031.250000	-29.213831
1046.875000	-29.015024
1062.500000	-29.079351
1078.125000	-29.188648
1093.750000	-29.249866
1109.375000	-29.084782
1125.000000	-28.839903
1140.625000	-28.926022
1156.250000	-28.910913
1171.875000	-28.927107
1187.500000	-28.838463
1203.125000	-28.901091
1218.750000	-29.137407
1234.375000	-29.066559
1250.000000	-28.819883
1265.625000	-29.146988
1281.250000	-29.102512
1296.875000	-29.129147
1312.500000	-29.121349
1328.125000	-29.260229
1343.750000	-29.195076
1359.375000	-29.066885
1375.000000	-29.265265
1390.625000	-29.098045
1406.250000	-28.978825
1421.875000	-29.015047
1437.500000	-29.213186
1453.125000	-29.285057
1468.750000	-28.906240
1484.375000	-29.015656
1500.000000	-29.159599
1515.625000	-29.039806
1531.250000	-29.021576
1546.875000	-29.103088
1562.500000	-29.064182
1578.125000	-29.026705
1593.750000	-28.842392
1609.375000	-28.955067
1625.000000	-28.941439
1640.625000	-28.942406
1656.250000	-28.824739
1671.875000	-28.911449
1687.500000	-29.019766
1703.125000	-29.118032
1718.750000	-29.147112
1734.375000	-29.158289
1750.000000	-29.219627
1765.625000	-29.300728
1781.250000	-29.165539
1796.875000	-28.908918
1812.500000	-28.830082
1828.125000	-28.868067
1843.750000	-29.076714
1859.375000	-28.967010
1875.000000	-29.155575
1890.625000	-28.967796
1906.250000	-28.842068
1921.875000	-29.041836
1937.500000	-29.211952
1953.125000	-29.140472
1968.750000	-28.927235
1984.375000	-29.159925
2000.000000	-29.206303
2015.625000	-29.172005
2031.250000	-29.081573
2046.875000	-29.007204
2062.500000	-28.946680
2078.125000	-29.050673
2093.750000	-28.896162
2109.375000	-28.821943
2125.000000	-28.910044
2140.625000	-29.145481
2156.250000	-29.126915
2171.875000	-29.061466
2187.500000	-29.135466
2203.125000	-28.903151
2218.750000	-28.664141
2234.375000	-28.808924
2250.000000	-28.923943
2265.625000	-28.948545
2281.250000	-29.182957
2296.875000	-28.972553
2312.500000	-28.937691
2328.125000	-28.801777
2343.750000	-28.914604
2359.375000	-29.117878
2375.000000	-29.243952
2390.625000	-29.133280
2406.250000	-28.994888
2421.875000	-28.970741
2437.500000	-29.320810
2453.125000	-29.120420
2468.750000	-29.114454
2484.375000	-29.024414
2500.000000	-29.117964
2515.625000	-29.260798
2531.250000	-29.177721
2546.875000	-29.044170
2562.500000	-29.097284
2578.125000	-28.979816
2593.750000	-28.956633
2609.375000	-28.976843
2625.000000	-28.936735
2640.625000	-28.843016
2656.250000	-28.826506
2671.875000	-29.145350
2687.500000	-29.290350
2703.125000	-29.113438
2718.750000	-29.023636
2734.375000	-29.110826
2750.000000	-28.939205
2765.625000	-28.873306
2781.250000	-29.411474
2796.875000	-29.450420
2812.500000	-29.173388
2828.125000	-28.844933
2843.750000	-28.923429
2859.375000	-29.001297
2875.000000	-28.785944
2890.625000	-28.731714
2906.250000	-28.848671
2921.875000	-29.085810
2937.500000	-28.909723
2953.125000	-28.717045
2968.750000	-28.918243
2984.375000	-29.182148
3000.000000	-29.077982
3015.625000	-29.156498
3031.250000	-29.302317
3046.875000	-29.263983
3062.500000	-29.295862
3078.125000	-29.242962
3093.750000	-29.077202
3109.375000	-28.799805
3125.000000	-28.891668
3140.625000	-28.985769
3156.250000	-28.944807
3171.875000	-28.803875
3187.500000	-28.777491
3203.125000	-28.960287
3218.750000	-29.075184
3234.375000	-29.093216
3250.000000	-28.852600
3265.625000	-28.986094
3281.250000	-29.036177
3296.875000	-29.132832
3312.500000	-29.199015
3328.125000	-29.240650
3343.750000	-29.070829
3359.375000	-29.033951
3375.000000	-28.964066
3390.625000	-29.110529
3406.250000	-28.968998
3421.875000	-28.886061
3437.500000	-28.958609
3453.125000	-29.060694
3468.750000	-28.891531
3484.375000	-28.872808
3500.000000	-28.955885
3515.625000	-29.064188
3531.250000	-28.964672
3546.875000	-29.000277
3562.500000	-29.041451
3578.125000	-28.925318
3593.750000	-28.921873
3609.375000	-28.798435
3625.000000	-28.804804
3640.625000	-28.852264
3656.250000	-29.125706
3671.875000	-29.205822
3687.500000	-28.982754
3703.125000	-28.864048
3718.750000	-29.120174
3734.375000	-29.219227
3750.000000	-29.404787
3765.625000	-29.336603
3781.250000	-29.019865
3796.875000	-29.002054
3812.500000	-29.082396
3828.125000	-29.045807
3843.750000	-28.901815
3859.375000	-29.029243
3875.000000	-29.142881
3890.625000	-29.023268
3906.250000	-29.124296
3921.875000	-28.844028
3937.500000	-28.583431
3953.125000	-28.900553
3968.750000	-29.113111
3984.375000	-28.955288
4000.000000	-28.876667
4015.625000	-28.934681
4031.250000	-28.874575
4046.875000	-29.008133
4062.500000	-28.918396
4078.125000	-28.946159
4093.750000	-29.173038
4109.375000	-29.111601
4125.000000	-29.207918
4140.625000	-29.133970
4156.250000	-29.014694
4171.875000	-29.019213
4187.500000	-29.163410
4203.125000	-29.065100
4218.750000	-28.979250
4234.375000	-28.965374
4250.000000	-28.921011
4265.625000	-28.933077
